# Date Time  Temperature [degrees Celsius]
16-09-2020 21:32  20.8
17-09-2020 00:33  20.6
17-09-2020 08:00  20.2
17-09-2020 11:45  20.0
17-09-2020 16:46  20.9
17-09-2020 22:23  20.7
17-09-2020 23:30  20.7
18-09-2020 08:14  20.7
18-09-2020 12:17  20.4
18-09-2020 16:55  20.4
18-09-2020 23:44  20.5
19-09-2020 08:33  20.9
19-09-2020 12:50  20.7
19-09-2020 17:13  20.7
19-09-2020 19:46  20.8
20-09-2020 00:04  20.8
20-09-2020 09:00  20.2
20-09-2020 15:37  20.2
20-09-2020 21:30  20.4
21-09-2020 07:49  20.2
21-09-2020 10:31  20.5
21-09-2020 15:05  20.1
21-09-2020 22:18  20.5
22-09-2020 07:38  20.8
22-09-2020 14:08  20.9
22-09-2020 17:44  20.5
22-09-2020 20:54  20.0
22-09-2020 23:23  20.4
23-09-2020 08:03  20.2
23-09-2020 16:10  20.3
23-09-2020 23:21  20.2
24-09-2020 08:04  20.1
24-09-2020 12:34  20.4
24-09-2020 15:57  20.3
24-09-2020 22:59  20.2
25-09-2020 07:44  20.6
25-09-2020 13:33  19.7
25-09-2020 20:52  19.9
25-09-2020 23:32  20.2
26-09-2020 07:57  19.6
26-09-2020 14:47  20.0
26-09-2020 20:12  20.5
26-09-2020 22:52  20.6
27-09-2020 09:49  20.7
27-09-2020 14:14  20.6
27-09-2020 17:46  20.9
