# Date/Time  Temperature [C] SV = 20 C
03-03-2021 08:30  15.2
03-03-2021 08:45  15.2
03-03-2021 09:00  15.5
03-03-2021 09:15  15.8
03-03-2021 09:30  16.0
03-03-2021 09:45  16.2
03-03-2021 10:00  16.4
03-03-2021 10:15  16.5
03-03-2021 10:30  16.6
03-03-2021 10:45  16.7
03-03-2021 11:00  16.8
03-03-2021 11:15  16.9
03-03-2021 11:30  17.1
03-03-2021 11:45  17.2
03-03-2021 12:00  17.3
03-03-2021 12:15  17.3
03-03-2021 12:30  17.4
03-03-2021 12:45  17.6
03-03-2021 13:00  17.8
03-03-2021 13:15  17.8
03-03-2021 13:30  18.0
03-03-2021 13:45  18.1
03-03-2021 14:00  18.2
03-03-2021 14:15  18.3
03-03-2021 14:30  18.4
03-03-2021 14:45  18.6
03-03-2021 15:00  18.7
03-03-2021 15:15  18.9
03-03-2021 15:30  19.0
03-03-2021 15:45  19.2
03-03-2021 16:00  19.3
03-03-2021 16:15  19.4
03-03-2021 16:30  19.5
03-03-2021 16:45  19.6
03-03-2021 17:00  19.7
03-03-2021 17:15  19.8
03-03-2021 17:30  19.9
03-03-2021 17:45  20.0
03-03-2021 18:00  19.9
03-03-2021 18:15  19.2
03-03-2021 18:30  19.0
03-03-2021 18:45  19.1
03-03-2021 19:00  19.3
03-03-2021 19:15  19.4
03-03-2021 19:30  19.6
03-03-2021 19:45  19.7
03-03-2021 20:00  17.9  28.3
